X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
4293637.33739542,2512320.47273348,train,0.0,0.0,0.0
4349784.89991101,2408135.90992422,train,Infinity,100.0,NaN
4322481.19923334,2447099.9695185,train,Infinity,100.0,NaN
4473063.68332616,2478305.96256181,train,Infinity,100.0,NaN
4390073.196846,2535287.0085874,train,0.0,0.0,0.0
4339275.44770158,2496855.86038352,train,0.0,0.0,0.0
4339289.08638342,2496868.66625616,train,0.0,0.0,0.0
4386205.05252934,2530864.49867524,train,0.0,0.0,0.0
4355710.17578692,2446045.86206339,train,0.0,0.0,0.0
4332479.22424051,2470982.46809566,train,0.0,0.0,0.0
4618089.54357813,2499776.78987638,train,0.0,0.0,0.0
4342892.11541541,2441318.94407335,train,Infinity,100.0,NaN
4342882.72889908,2441319.35297051,train,Infinity,100.0,NaN
4473065.02239875,2478286.7923182,train,Infinity,100.0,NaN
4618114.3098207,2499773.05253195,train,0.0,0.0,0.0
4473068.10796323,2478295.19847806,train,Infinity,100.0,NaN
4080194.80327547,2280406.60454289,train,Infinity,100.0,NaN
4618106.5358613,2499781.54726151,train,0.0,0.0,0.0
4414899.29910304,2288534.78657047,train,0.0,0.0,0.0
4473071.49361883,2478297.83982242,train,Infinity,100.0,NaN
4473069.8566333,2478306.90022444,train,Infinity,100.0,NaN
4292489.6982611,2415461.61683961,train,0.0,0.0,0.0
4290340.19376154,2460959.87064291,train,0.0,0.0,0.0
4318617.78270723,2398755.14547656,train,0.0,0.0,0.0
4394259.8441271,2381459.61457024,train,0.0,0.0,0.0
4476756.68263732,2363076.76314988,train,0.0,0.0,0.0
4362357.31752338,2388916.32762472,train,0.0,0.0,0.0
4091058.65890571,2289435.55785402,train,Infinity,100.0,NaN
4473057.74088617,2478308.36127051,train,Infinity,100.0,NaN
4473061.91041136,2478311.02299832,train,Infinity,100.0,NaN
4273601.29380924,2532102.4980897,train,0.0,0.0,0.0
4316373.88625815,2578538.19142439,train,0.0,0.0,0.0
4439230.56211116,2230291.20828075,train,0.0,0.0,0.0
4364951.11700719,2241495.72664611,train,Infinity,100.0,NaN
4589273.73274098,2232806.93482171,train,Infinity,100.0,NaN
4580476.51974302,2269028.85748367,train,0.0,0.0,0.0
4420132.01624708,2305318.55505032,train,0.0,0.0,0.0
4356358.96892909,2323454.35535248,train,0.0,0.0,0.0
4533513.06859391,2290496.33255223,train,0.0,0.0,0.0
4485661.04001564,2327820.12460913,train,Infinity,100.0,NaN
4372921.33024821,2262611.7719423,train,0.0,0.0,0.0
4173267.99572544,2497153.64758769,train,0.0,0.0,0.0
4322573.44073612,2456441.6630607,train,0.0,0.0,0.0
4228434.9524978,2525987.77804942,train,0.0,0.0,0.0
4094046.52728758,2316534.02534128,train,0.0,0.0,0.0
4347477.46895147,2518648.67890838,train,0.0,0.0,0.0
4462159.63044831,2477008.48430306,train,0.0,0.0,0.0
4404058.01307618,2481443.87083935,train,0.0,0.0,0.0
4214865.41338422,2415235.26352753,train,0.0,0.0,0.0
4492980.75178849,2524470.15264624,train,0.0,0.0,0.0
4302584.42642844,2346661.33942496,train,0.0,0.0,0.0
4126461.34772195,2375309.25569212,train,0.0,0.0,0.0
4561465.63764321,2564689.58547459,train,0.0,0.0,0.0
4414670.51161624,2554872.37872747,train,0.0,0.0,0.0
4210019.89595971,2497447.56441742,train,0.0,0.0,0.0
4526880.55958804,2557791.67155364,train,0.0,0.0,0.0
4115491.71263426,2453377.61779892,train,0.0,0.0,0.0
4243654.02548858,2436978.1196776,train,0.0,0.0,0.0
4178412.74351878,2414891.69400259,train,0.0,0.0,0.0
4624957.3294705,2455426.47384029,train,0.0,0.0,0.0
4191976.87836514,2494488.95666808,train,0.0,0.0,0.0
