X,Y,Aedes.albopictus_AllData_RUN4 logistic values
4164346.36398261,2341683.96433401,0.19668749
4318717.66173439,2623444.06762078,6.0343897E-5
4365982.90386913,2336648.62567363,0.025395012
4467327.64677691,2516545.40969074,0.27771503
4206481.85265154,2461575.53369286,0.23285729
4172939.6989476,2386291.51885051,0.21398671
4122194.96372422,2609857.50612871,0.0060437187
4132727.46198224,2327092.40845534,0.06089505
4347430.42198858,2362153.49228113,0.04896479
4391536.80945814,2396097.30793007,0.3659741
4320583.99730909,2341281.70260307,0.5272602
4108895.68839149,2413114.26411399,0.5112695
4252827.72648966,2490330.25106936,0.862087
4500965.38137799,2611608.45953035,0.005460485
4386802.84905901,2249192.21845179,0.35969472
4383536.8024482,2447950.64865427,0.5111285
4406313.09918298,2583010.46138941,0.09952257
4359217.53427033,2474139.56550643,0.6124122
4319931.65153016,2361128.94725207,0.29427397
4605596.35006036,2269462.51996871,0.4511078
4222990.2483868,2417518.38084106,0.17051475
4546772.23954301,2259002.79530194,0.118515365
4159632.34448599,2558681.86025503,2.443582E-4
4229406.94361997,2483034.96773551,0.19718054
4501259.72675236,2660430.37110938,5.7132234E-4
4581189.04687153,2570069.6405063,0.1636776
4381676.34196103,2430850.66411321,0.26182792
4412026.83005947,2439812.3395413,0.24826567
4395445.94232019,2230892.16300025,0.2942932
4573360.01502861,2263323.71347927,0.120345406
4436409.44384171,2621486.04728251,0.0012601551
4478225.4899631,2436532.77139146,0.19844565
4062048.57945296,2292850.81443016,0.4052568
4267086.02652349,2390401.57839795,0.20562653
4173697.55580455,2435280.29025465,0.33487922
4451906.92508383,2567670.48391921,0.038520973
4504164.05471881,2603631.25038248,0.0012495153
4076732.32344584,2351432.81211695,0.052478094
4550985.52572178,2600133.93304479,0.080936424
4055224.82729591,2277415.0282582,0.05601867
4455555.29359566,2497234.54923091,0.50519294
4384395.81637216,2428322.12321161,0.50425744
4282985.54220878,2660405.21938721,0.07731471
4069895.28662775,2477222.25766568,8.708759E-6
4486000.93809386,2600034.55654953,0.02135152
4231637.21202945,2556621.98321719,0.067373365
4101261.31242265,2351891.9522074,3.1670526E-4
4320403.63319119,2405120.76026058,0.29356346
4440705.15766957,2505201.51341713,0.24049748
4452178.96008703,2352655.00520948,0.76635385
4107043.14550165,2590331.03075907,0.0019309045
4309584.4927543,2337939.38337803,0.25121456
4393809.15460115,2605741.65464668,9.811692E-4
4521280.16820738,2250824.73901876,0.26237062
4253385.94447205,2464257.73888354,0.20685872
4384469.40425134,2537575.80464694,0.2702114
4528583.99580154,2561541.25613517,0.41677463
4124443.87495081,2609624.32673964,0.0013949092
4301484.24671648,2608653.32827295,9.6910655E-5
4064856.72637914,2631178.19232977,0.172637
4377800.61012484,2454607.50571781,0.18816426
4455384.82291344,2597088.02730688,0.009647513
4521777.70278417,2614262.5152935,0.005422014
4139610.07558546,2663284.58754952,0.16623867
4099916.02163967,2506234.49348605,6.9975166E-4
4401655.73641502,2443561.44827608,0.4490992
4328735.5522668,2394798.27232492,0.26018417
4207194.34552726,2644558.10577496,0.004631952
4181633.96489158,2435845.52853602,0.37849078
4312007.19168708,2386237.40679338,0.16123855
4155378.61597508,2629014.33243064,0.0016916887
4571318.50725583,2289272.88241383,0.30425844
4164519.70658491,2363100.18664536,0.2038635
4084348.19477006,2370586.6757953,8.541741E-4
4616369.02360222,2590656.62309223,3.527295E-4
4619021.9923264,2486010.01291195,0.35206035
4510624.82717315,2244001.46583738,0.50994176
4228638.98110344,2621516.20724586,2.4316402E-4
4102279.72962405,2509396.11183152,0.011743523
4121658.65500482,2392783.58082269,0.37188298
4444143.32137483,2594876.98919951,0.0033375921
4606536.54485729,2251550.97540581,0.44974107
4470304.11529057,2588874.1297928,0.012111318
4132783.70272593,2572152.40762,0.010330962
4471194.55651506,2347133.85407025,0.44281453
4594904.80892953,2647629.79091596,0.003114553
4179421.01128408,2592303.87200593,0.0023698506
4122969.83247844,2546759.40778583,5.725889E-7
4176141.66595442,2515465.27120178,0.01291309
4577889.98314804,2526323.89292407,0.24082257
4333833.58886191,2431766.5213096,0.34335238
4633046.8789768,2449389.32287186,0.40735918
4455771.93108044,2309424.91031541,0.05161652
4356639.10190679,2443268.23972001,0.73751354
4483382.62477983,2270390.65837033,0.41276157
4386316.00599611,2622346.95990295,0.001087736
4118201.9394816,2596302.06618828,4.1130654E-4
4121584.24341124,2317886.326418,0.39978045
4145858.66252786,2561235.92787933,3.1655017E-7
4345174.56367878,2556305.76687665,0.25902236
4558098.16979356,2591397.17718884,0.14759612
4219594.07684586,2431532.62776511,0.3770507
4254299.18742255,2599900.9518309,1.5336412E-4
4473697.70097689,2600517.25490671,0.001788641
4201409.05480372,2400569.84463228,0.22799756
4152381.99897627,2381464.39359959,0.3447079
4078531.41256297,2656493.04769069,0.07751417
4153947.07160238,2478914.21375129,0.4116374
4535734.38535207,2593323.88316046,0.24099673
4495293.99759373,2375745.01172342,0.2941185
4339605.37603717,2465233.93644744,0.39143988
4496499.65668118,2295399.42350335,0.035454795
4372115.69998833,2434281.50282403,0.20906454
4303451.62317884,2442307.00761707,0.24873862
4092244.19339277,2493714.84908848,9.31616E-5
4239514.29520965,2482191.78867548,0.20834112
4211633.53177486,2562627.42173971,0.07540555
4553073.86693672,2539486.12405669,0.37188333
4408171.87712504,2405364.28606482,0.34945548
4070499.23934331,2461263.18752752,0.0012475512
4632414.56835449,2605473.82455609,0.002185724
4408154.06234079,2403215.57464149,0.39855877
4589534.57104255,2557142.81283979,0.49596393
4527636.50018639,2519180.57494384,0.2431595
4508962.10101502,2577858.50944351,0.037079792
4123309.91994906,2604663.05245748,0.0021458562
4446341.80125873,2418701.82247585,0.9139096
4602278.53402483,2659379.61574086,0.0019582345
4313119.63873259,2439435.91325006,0.40654057
4607829.68239622,2643173.0199666,0.0040380284
4520392.4531185,2635942.19251046,6.558268E-4
4500025.78571008,2624530.75941199,0.0030293113
4404206.7842889,2665201.29785167,5.8215057E-5
4087436.63756942,2625803.09321082,0.09366244
4383864.12083349,2603395.86336894,1.5796778E-4
4581149.57901879,2584164.41702762,0.055659574
4416475.62223079,2540126.64272297,0.19663012
4503970.91002014,2342516.82432832,0.22271524
4377073.99503244,2300740.29876647,0.26867878
4475871.75075555,2415631.47492012,0.24100281
4575699.58867757,2650667.08679146,2.0829149E-4
4347058.35164462,2507579.62333957,0.34143034
4336239.16829604,2497682.06341802,0.5601288
4158696.1956613,2560570.37635948,2.254214E-5
4180737.75501029,2509642.43768218,0.33971083
4091147.522003,2609316.49892973,0.008048617
4317505.58992151,2536380.32813881,0.21563947
4227701.38878377,2540071.32203708,0.5267799
4368083.15041025,2616283.38844548,0.01081805
4558023.80473162,2532441.57985639,0.25918126
4379605.09358086,2561927.84008245,0.12801987
4556605.5447642,2276372.76439282,0.22749767
4147444.64492798,2607222.9058325,0.0027773776
4577137.43045148,2255519.15587357,0.13001207
4237851.00072993,2506051.63332542,0.4964276
4470726.92980146,2629034.4603299,0.00770406
4194386.65223065,2507930.44669678,0.4446683
4243716.28334243,2414019.27947417,0.3884769
4128451.37153763,2538708.06021944,2.1568978E-4
4586266.78701475,2254846.00097171,0.70921046
4614617.24102021,2446820.95169963,0.5278896
4396338.03398598,2570992.36514661,0.005103612
4111642.43440848,2501388.47690399,1.8463585E-4
4576758.90304354,2649307.95765814,6.8336143E-4
4287781.51822411,2653684.79878746,0.028121745
4356401.33762941,2349205.49333415,0.0044653523
4551103.43413226,2587300.12837674,0.15407085
4112232.21494464,2345268.9559909,0.0016089937
4471373.04966663,2644606.75892216,0.0025451174
4311905.43069417,2382183.50839642,0.15403283
4166170.52120264,2664985.94797174,0.05497359
4409404.89178548,2485697.8778609,0.36382157
4284136.86810037,2464897.59413339,0.2782417
