Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.55665E-10,0.000000096,0.000000317,0.9975,0,0
1.72865E-9,0.000000268,0.000000573,0.99625,0,0
5.35022E-9,0.00000138,0.000001772,0.9925,0,0
1.71742E-8,0.000004004,0.000005689,0.99,0,0
2.11539E-8,0.00001187,0.000007007,0.985,0,0
3.80821E-8,0.000028211,0.000012614,0.97875,0,0
9.76163E-8,0.00005737,0.000032333,0.97375,0,0
1.51408E-7,0.000111528,0.000050149,0.96875,0,0
2.49511E-7,0.000262205,0.00008264,0.95875,0,0
3.66888E-7,0.000513075,0.000121512,0.94875,0,0
5.51803E-7,0.001045357,0.000182743,0.935,0,0
9.1281E-7,0.002539954,0.000302264,0.91,0,0
1.60129E-6,0.005076124,0.000530124,0.88375,0,0
3.20079E-6,0.010317234,0.001059091,0.85625,0,0
7.70331E-6,0.025017844,0.002545117,0.82,0,0
1.18286E-5,0.050365373,0.003902768,0.78875,0,0
2.05848E-5,0.101635399,0.006772231,0.75,0,0
4.27218E-5,0.202064411,0.013953514,0.71125,0,0
7.81853E-5,0.30549604,0.025243975,0.69,0,0
1.04589E-4,0.408551143,0.033483716,0.67625,0,0
1.16255E-4,0.508070084,0.037079791,0.665,0,0
1.45708E-4,0.610908908,0.046041662,0.655,0,0
1.64311E-4,0.706033193,0.051616518,0.6475,0,0
1.67206E-4,0.755741421,0.052478094,0.64375,0,0
1.69626E-4,0.806405266,0.053197307,0.64,0,0
1.9398E-4,0.917183521,0.060373953,0.6325,0,0
2.14957E-4,1.017820615,0.0664688,0.62625,0,0
2.38986E-4,1.111122177,0.073353947,0.62125,0,0
2.43404E-4,1.207965604,0.074608793,0.61625,0,0
2.52971E-4,1.308318236,0.077314715,0.61125,0,0
2.76409E-4,1.415274162,0.083876959,0.60625,0,0
2.97834E-4,1.501335435,0.089794566,0.6025,0,0
3.19737E-4,1.780948877,0.095765791,0.59125,0,0
3.52932E-4,2.020914755,0.104667513,0.5825,0.016129032,0
3.85848E-4,2.279895201,0.113323206,0.57375,0.016129032,0
4.10592E-4,2.520563447,0.119720383,0.56625,0.016129032,0
4.37031E-4,2.775678262,0.126454529,0.55875,0.016129032,0
4.68256E-4,3.002540853,0.134276464,0.5525,0.032258065,0
5.22748E-4,3.297863663,0.147596124,0.545,0.032258065,0
5.30596E-4,3.509183076,0.149480744,0.54,0.032258065,0
5.49857E-4,3.780539738,0.154070849,0.53375,0.032258065,0
5.8226E-4,4.008980716,0.161682442,0.52875,0.032258065,0
6.04581E-4,4.307598152,0.166846229,0.5225,0.032258065,0
6.32958E-4,4.558864664,0.173320312,0.5175,0.032258065,0
6.45184E-4,4.75023407,0.176078509,0.51375,0.032258065,0
6.7049E-4,5.01523958,0.181729792,0.50875,0.048387097,0
6.74457E-4,5.284291618,0.182608694,0.50375,0.048387097,0
6.95098E-4,5.55896146,0.187151322,0.49875,0.048387097,0
6.99732E-4,5.768040329,0.188164268,0.495,0.048387097,0
7.15722E-4,6.052291189,0.19164,0.49,0.048387097,0
7.27397E-4,6.269181203,0.194159062,0.48625,0.048387097,0
7.39189E-4,6.563238864,0.196687486,0.48125,0.048387097,0
7.47441E-4,6.786875805,0.19844761,0.4775,0.048387097,0
7.55536E-4,7.012279867,0.200166541,0.47375,0.048387097,0
7.71928E-4,7.318758425,0.203625202,0.46875,0.048387097,0
7.77749E-4,7.551364211,0.204846135,0.465,0.048387097,0
7.87384E-4,7.786244161,0.206858856,0.46125,0.048387097,0
8.08766E-4,8.026371744,0.211289327,0.4575,0.048387097,0
8.16797E-4,8.270126998,0.212940739,0.45375,0.048387097,0
8.25702E-4,8.517303162,0.214763708,0.45,0.048387097,0
8.31344E-4,8.766073185,0.215914225,0.44625,0.048387097,0
8.39171E-4,9.017101224,0.217504868,0.4425,0.064516129,0
8.59672E-4,9.273755139,0.221640858,0.43875,0.064516129,0
8.70056E-4,9.533675395,0.223719033,0.435,0.064516129,0
8.89079E-4,9.796802643,0.227497649,0.43125,0.064516129,0
8.94775E-4,10.064754695,0.228622009,0.4275,0.064516129,0
8.98521E-4,10.334124907,0.229359661,0.42375,0.064516129,0
9.07225E-4,10.515092788,0.231068096,0.42125,0.064516129,0
9.2485E-4,10.79160333,0.234504464,0.4175,0.080645161,0
9.28667E-4,11.069724127,0.235244636,0.41375,0.080645161,0
9.47438E-4,11.257552949,0.238863725,0.41125,0.080645161,0
9.5597E-4,11.543475795,0.240497506,0.4075,0.080645161,0
9.58616E-4,11.830963142,0.241002782,0.40375,0.096774194,0
9.64099E-4,12.023748114,0.242047415,0.40125,0.096774194,0
9.73081E-4,12.263706448,0.243752786,0.3975,0.096774194,0
9.82267E-4,12.511592349,0.245489073,0.395,0.112903226,0
