Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.31666E-11,0.000000003,0.000000007,0.9975,0,0
6.0688E-10,0.000000063,0.000000191,0.99625,0,0
9.99736E-10,0.000000163,0.000000315,0.995,0,0
1.29069E-9,0.000000292,0.000000406,0.99375,0,0
3.81265E-9,0.0000012,0.0000012,0.99,0,0
3.31122E-8,0.000004934,0.000010425,0.9875,0,0
1.32855E-7,0.000018219,0.000041828,0.98625,0,0
1.47589E-7,0.000032978,0.000046466,0.985,0,0
2.44189E-7,0.000057397,0.000076877,0.98375,0,0
4.09545E-7,0.000131621,0.000128929,0.98125,0,0
1.50762E-6,0.000282383,0.00047445,0.98,0,0
2.99117E-6,0.000765269,0.000940884,0.9775,0,0
3.00153E-6,0.001065422,0.000944141,0.97625,0,0
4.98308E-6,0.002569709,0.001566466,0.97125,0.016129032,0
9.9103E-6,0.005098117,0.003110557,0.9675,0.016129032,0
1.2756E-5,0.01001608,0.004000172,0.9625,0.016129032,0
1.68222E-5,0.026613051,0.005268564,0.94875,0.016129032,0
2.29009E-5,0.050223665,0.007158753,0.93375,0.032258065,0
2.72019E-5,0.102379249,0.008491813,0.9075,0.032258065,0
3.54792E-5,0.203201753,0.01104725,0.8675,0.032258065,0
4.67753E-5,0.301684956,0.014513486,0.8375,0.032258065,0
5.27652E-5,0.402268412,0.016341652,0.8125,0.032258065,0
5.81243E-5,0.502864863,0.017971572,0.79,0.032258065,0
6.48638E-5,0.60107264,0.020013674,0.77,0.032258065,0
7.31144E-5,0.703255231,0.022502091,0.75125,0.032258065,0
7.61042E-5,0.755794292,0.023400734,0.7425,0.032258065,0
7.82536E-5,0.802229104,0.024045741,0.735,0.032258065,0
8.66113E-5,0.902254535,0.026545711,0.72,0.032258065,0
9.25687E-5,1.001784121,0.028319891,0.70625,0.032258065,0
1.00581E-4,1.108183685,0.030695891,0.6925,0.032258065,0
1.10104E-4,1.203985064,0.033504908,0.68125,0.032258065,0
1.18849E-4,1.306830994,0.036069916,0.67,0.032258065,0
1.31756E-4,1.40786364,0.039831162,0.66,0.032258065,0
1.43889E-4,1.506338229,0.043339925,0.65125,0.032258065,0
1.87147E-4,1.752714795,0.05564464,0.6325,0.032258065,0
2.09904E-4,2.013796418,0.061991482,0.61625,0.032258065,0
2.41514E-4,2.262863132,0.070667127,0.6025,0.032258065,0
2.67705E-4,2.524245319,0.077735108,0.59,0.048387097,0
2.94177E-4,2.753162988,0.084770212,0.58,0.048387097,0
3.15709E-4,3.023770751,0.090413886,0.56875,0.048387097,0
3.50815E-4,3.257985059,0.09946763,0.56,0.048387097,0
3.89409E-4,3.517908974,0.109215114,0.55125,0.080645161,0
4.08221E-4,3.758189844,0.11389043,0.54375,0.080645161,0
4.26201E-4,4.008590022,0.118313068,0.53625,0.080645161,0
4.57615E-4,4.280601319,0.125935496,0.52875,0.080645161,0
5.05765E-4,4.526446769,0.137366095,0.5225,0.080645161,0
5.51017E-4,4.790787202,0.14783963,0.51625,0.080645161,0
5.72616E-4,5.01682987,0.152749419,0.51125,0.096774194,0
5.86932E-4,5.307398064,0.155972708,0.505,0.096774194,0
5.9286E-4,5.543316883,0.157300186,0.5,0.096774194,0
6.07316E-4,5.784214362,0.16052014,0.495,0.096774194,0
6.16042E-4,6.029312405,0.162451756,0.49,0.096774194,0
6.23035E-4,6.277313903,0.163993362,0.485,0.112903226,0
6.48157E-4,6.532681027,0.169485129,0.48,0.112903226,0
6.61279E-4,6.796227981,0.172325139,0.475,0.112903226,0
6.72E-4,7.062649004,0.174631174,0.47,0.112903226,0
6.77875E-4,7.265501211,0.175889227,0.46625,0.112903226,0
7.02707E-4,7.542659067,0.181165201,0.46125,0.112903226,0
7.0646E-4,7.754141585,0.181956834,0.4575,0.112903226,0
7.20747E-4,8.039558449,0.184955861,0.4525,0.112903226,0
7.28247E-4,8.257110244,0.186521612,0.44875,0.112903226,0
7.44852E-4,8.553079214,0.189966532,0.44375,0.129032258,0
7.61155E-4,8.778856324,0.193320631,0.44,0.129032258,0
7.70215E-4,9.008434216,0.195172572,0.43625,0.129032258,0
7.81464E-4,9.319471869,0.197460368,0.43125,0.129032258,0
7.93748E-4,9.557010077,0.199943589,0.4275,0.129032258,0
8.06202E-4,9.797512894,0.202445556,0.42375,0.129032258,0
8.10507E-4,10.03994579,0.20330689,0.42,0.129032258,0
8.24458E-4,10.286655822,0.206085135,0.41625,0.129032258,0
8.44734E-4,10.538246981,0.210088645,0.4125,0.14516129,0
8.49662E-4,10.754006712,0.211055539,0.40875,0.14516129,0
8.61059E-4,11.050037124,0.213282859,0.405,0.161290323,0
8.67173E-4,11.309823344,0.214472444,0.40125,0.161290323,0
8.80571E-4,11.57306943,0.217066795,0.3975,0.177419355,0
8.91934E-4,11.83912408,0.219253697,0.39375,0.177419355,0
9.03634E-4,12.019827913,0.221492744,0.39125,0.177419355,0
9.19741E-4,12.295282099,0.224554243,0.3875,0.177419355,0
9.36076E-4,12.572980856,0.227634582,0.38375,0.177419355,0
9.48184E-4,12.762245968,0.229902004,0.38125,0.177419355,0
9.57388E-4,13.048060127,0.231616836,0.3775,0.177419355,0
