X,Y,Aedes.albopictus_AllData_RUN4 logistic values
4164346.36398261,2341683.96433401,0.14174771
4318717.66173439,2623444.06762078,0.026870726
4365982.90386913,2336648.62567363,0.035355024
4467327.64677691,2516545.40969074,0.24037711
4206481.85265154,2461575.53369286,0.31022888
4344043.98372289,2360767.52120876,0.039219126
4122194.96372422,2609857.50612871,0.042435106
4132727.46198224,2327092.40845534,0.049599897
4391536.80945814,2396097.30793007,0.2833105
4500965.38137799,2611608.45953035,0.015957091
4386802.84905901,2249192.21845179,0.0066801887
4383536.8024482,2447950.64865427,0.49361178
4244855.70664968,2408699.59090196,0.22775036
4406313.09918298,2583010.46138941,0.15497196
4359217.53427033,2474139.56550643,0.3501807
4319931.65153016,2361128.94725207,0.24575132
4605596.35006036,2269462.51996871,0.00531542
4222990.2483868,2417518.38084106,0.007658547
4546772.23954301,2259002.79530194,0.03462072
4229406.94361997,2483034.96773551,0.22278884
4501259.72675236,2660430.37110938,0.006853011
4381676.34196103,2430850.66411321,0.056330845
4425715.19590788,2603487.78876163,0.27124143
4432663.82892524,2412946.46570946,0.13537183
4412026.83005947,2439812.3395413,0.25460553
4395445.94232019,2230892.16300025,0.19835345
4573360.01502861,2263323.71347927,0.043376163
4062048.57945296,2292850.81443016,0.6382539
4267086.02652349,2390401.57839795,0.16372232
4173697.55580455,2435280.29025465,0.19863021
4504164.05471881,2603631.25038248,0.051247124
4076732.32344584,2351432.81211695,0.054396894
4550985.52572178,2600133.93304479,0.042821378
4055224.82729591,2277415.0282582,1.073814E-4
4455555.29359566,2497234.54923091,0.47958764
4384395.81637216,2428322.12321161,0.45827267
4282985.54220878,2660405.21938721,0.101831354
4069895.28662775,2477222.25766568,0.028467387
4486000.93809386,2600034.55654953,0.02124624
4231637.21202945,2556621.98321719,0.074809544
4500925.25377665,2331802.36034398,0.033487517
4101261.31242265,2351891.9522074,0.003595117
4286517.34155425,2521699.41844852,0.3263866
4320403.63319119,2405120.76026058,0.17131093
4440705.15766957,2505201.51341713,0.1945601
4452178.96008703,2352655.00520948,0.91243094
4107043.14550165,2590331.03075907,0.008119129
4193972.35883424,2607053.95744329,0.027672328
4309584.4927543,2337939.38337803,0.0015654302
4513958.92948914,2636042.21817871,0.025990497
4432560.5308298,2547893.23402013,0.19474448
4521280.16820738,2250824.73901876,0.1532861
4253385.94447205,2464257.73888354,0.22348961
4384469.40425134,2537575.80464694,0.16362782
4131744.96492334,2613706.55194698,0.070008755
4124443.87495081,2609624.32673964,0.010170243
4301484.24671648,2608653.32827295,0.019826153
4377800.61012484,2454607.50571781,0.12124716
4455384.82291344,2597088.02730688,0.031007254
4234433.36763414,2427720.49855804,0.011770277
4290040.93249706,2634884.93431239,0.022119861
4521777.70278417,2614262.5152935,0.014326771
4139610.07558546,2663284.58754952,0.16070636
4099916.02163967,2506234.49348605,0.015365279
4328735.5522668,2394798.27232492,0.2526294
4181633.96489158,2435845.52853602,0.28377303
4312007.19168708,2386237.40679338,0.08984074
4295689.8116226,2355432.44967422,0.37729523
4155378.61597508,2629014.33243064,0.0069125444
4151547.86793986,2584066.17585576,0.0043463786
4571318.50725583,2289272.88241383,0.47080135
4164519.70658491,2363100.18664536,0.3285527
4084348.19477006,2370586.6757953,0.009166603
4616369.02360222,2590656.62309223,0.04368454
4619021.9923264,2486010.01291195,0.28340703
4510624.82717315,2244001.46583738,0.40875447
4228638.98110344,2621516.20724586,0.0030554505
4102279.72962405,2509396.11183152,0.034676377
4121658.65500482,2392783.58082269,0.36347464
4444143.32137483,2594876.98919951,0.015613089
4606536.54485729,2251550.97540581,0.29646713
4470304.11529057,2588874.1297928,0.019008217
4132783.70272593,2572152.40762,0.027188972
4471194.55651506,2347133.85407025,0.2224654
4122969.83247844,2546759.40778583,0.009276611
4285113.46294735,2544452.12685815,0.04956007
4176141.66595442,2515465.27120178,0.03199174
4577889.98314804,2526323.89292407,0.19939984
4196702.40155259,2411026.03494977,0.28552186
4633046.8789768,2449389.32287186,0.37350085
4455771.93108044,2309424.91031541,0.05272711
4548225.45169889,2608559.27308225,0.0263442
4356639.10190679,2443268.23972001,0.7043324
4483382.62477983,2270390.65837033,0.28710106
4225937.79871291,2598551.45553343,0.07652403
4386316.00599611,2622346.95990295,0.022803895
4118201.9394816,2596302.06618828,0.0046158126
4121584.24341124,2317886.326418,0.6315864
4145858.66252786,2561235.92787933,0.02031854
4558098.16979356,2591397.17718884,0.10921269
4340739.68005762,2431871.02527915,0.33280355
4254299.18742255,2599900.9518309,0.030416321
4201409.05480372,2400569.84463228,0.22638838
4152381.99897627,2381464.39359959,0.3513351
4078531.41256297,2656493.04769069,0.06924154
4153947.07160238,2478914.21375129,0.39759144
4535734.38535207,2593323.88316046,0.14478597
4428458.18140032,2313359.87617904,0.27750725
4495293.99759373,2375745.01172342,0.20934176
4339605.37603717,2465233.93644744,0.114034794
4496499.65668118,2295399.42350335,0.0152984485
4372115.69998833,2434281.50282403,0.13570097
4434519.2930176,2295242.32530554,0.32093036
4303451.62317884,2442307.00761707,0.33280954
4092244.19339277,2493714.84908848,0.019453187
4211633.53177486,2562627.42173971,0.06861265
4553073.86693672,2539486.12405669,0.4064735
4632414.56835449,2605473.82455609,0.011090076
4408154.06234079,2403215.57464149,0.36853564
4589534.57104255,2557142.81283979,0.42272526
4508962.10101502,2577858.50944351,0.06475651
4123309.91994906,2604663.05245748,0.0155226765
4446341.80125873,2418701.82247585,0.930194
4313119.63873259,2439435.91325006,0.28661725
4156950.99703306,2410853.58823042,0.27306932
4520392.4531185,2635942.19251046,0.006276569
4152480.11605106,2478279.59962707,0.41696882
4500025.78571008,2624530.75941199,0.023729617
4435320.04326634,2316718.43297612,0.453443
4423992.74080331,2652492.528777,0.034857217
4081556.90547671,2551484.31507163,0.004094553
4404206.7842889,2665201.29785167,0.025896968
4087436.63756942,2625803.09321082,0.07253921
4581149.57901879,2584164.41702762,0.07431355
4416475.62223079,2540126.64272297,0.15451258
4503970.91002014,2342516.82432832,0.023304824
4478600.3688337,2628673.31267695,0.03649099
4575699.58867757,2650667.08679146,0.003489315
4172982.80180581,2339335.08530099,0.27274787
4347058.35164462,2507579.62333957,0.27494106
4336239.16829604,2497682.06341802,0.5808511
4158696.1956613,2560570.37635948,0.029845918
4180737.75501029,2509642.43768218,0.19701867
4091147.522003,2609316.49892973,0.018020185
4317505.58992151,2536380.32813881,0.14331128
4227701.38878377,2540071.32203708,0.45606843
4368083.15041025,2616283.38844548,0.03043207
4379605.09358086,2561927.84008245,0.20909107
4556605.5447642,2276372.76439282,0.07311672
4147444.64492798,2607222.9058325,0.012815412
4577137.43045148,2255519.15587357,0.024102671
4237851.00072993,2506051.63332542,0.49745134
4470726.92980146,2629034.4603299,0.036538016
4260002.76405917,2522035.50295002,0.22526512
